835,M-4 (35 PDF),50.8,0.04,2.4,0.8,50,1.25,6,0.8
840,M-4 (40 PDF),57.6,0.04,2.3,0.8,50,1.25,6,0.8
845,M-4 (45 PDF),63.6,0.04,2.2,0.8,50,1.25,6,0.8
850,M-4 (50 PDF),68.8,0.04,2.1,0.8,50,1.25,6,0.8
855,M-4 (55 PDF),73.4,0.04,2,0.8,50,1.25,6,0.8
860,M-4 (60 PDF),77.5,0.04,2,0.8,50,1.25,6,0.8
865,M-4 (65 PDF),81.1,0.04,1.9,0.8,50,1.25,6,0.8
870,M-4 (70 PDF),84.3,0.04,1.8,0.8,50,1.25,6,0.8
875,M-4 (75 PDF),87.2,0.04,1.8,0.8,50,1.25,6,0.8
880,M-4 (80 PDF),89.8,0.04,1.7,0.8,50,1.25,6,0.8
885,M-4 (85 PDF),92.2,0.04,1.6,0.8,50,1.25,6,0.8
890,M-4 (90 PDF),94.4,0.04,1.6,0.8,50,1.25,6,0.8
895,M-4 (95 PDF),96.3,0.04,1.5,0.8,50,1.25,6,0.8
905,M-3/M-4 (05 PDF),0.2,0,1.7,0.8,50,1.25,6,0.8
910,M-3/M-4 (10 PDF),5.1,0.002,1.7,0.8,50,1.25,6,0.8
915,M-3/M-4 (15 PDF),16.5,0.007,1.7,0.8,50,1.25,6,0.8
920,M-3/M-4 (20 PDF),29.5,0.014,1.6,0.8,50,1.25,6,0.8
925,M-3/M-4 (25 PDF),41.9,0.019,1.6,0.8,50,1.25,6,0.8
930,M-3/M-4 (30 PDF),52.9,0.025,1.6,0.8,50,1.25,6,0.8
935,M-3/M-4 (35 PDF),62.5,0.029,1.6,0.8,50,1.25,6,0.8
940,M-3/M-4 (40 PDF),70.9,0.033,1.6,0.8,50,1.25,6,0.8
945,M-3/M-4 (45 PDF),78.1,0.037,1.6,0.8,50,1.25,6,0.8
950,M-3/M-4 (50 PDF),84.4,0.04,1.5,0.8,50,1.25,6,0.8
955,M-3/M-4 (55 PDF),90,0.043,1.5,0.8,50,1.25,6,0.8
960,M-3/M-4 (60 PDF),94.9,0.045,1.5,0.8,50,1.25,6,0.8
965,M-3/M-4 (65 PDF),99.2,0.047,1.5,0.8,50,1.25,6,0.8
970,M-3/M-4 (70 PDF),103.1,0.049,1.5,0.8,50,1.25,6,0.8
975,M-3/M-4 (75 PDF),106.6,0.051,1.5,0.8,50,1.25,6,0.8
980,M-3/M-4 (80 PDF),109.8,0.052,1.5,0.8,50,1.25,6,0.8
985,M-3/M-4 (85 PDF),112.6,0.054,1.4,0.8,50,1.25,6,0.8
990,M-3/M-4 (90 PDF),115.2,0.055,1.4,0.8,50,1.25,6,0.8
995,M-3/M-4 (95 PDF),117.6,0.056,1.4,0.8,50,1.25,6,0.8
